"","CrashDate","WeekDay","Month","Year","prop"
"1","1/1/2016","Friday",1,2016,0
"2","1/1/2017","Sunday",1,2017,0
"3","1/1/2018","Monday",1,2018,0
"4","1/1/2019","Tuesday",1,2019,0
"5","1/1/2020","Wednesday",1,2020,0
"6","1/1/2021","Friday",1,2021,0
"7","1/1/2022","Saturday",1,2022,0
"8","1/1/2023","Sunday",1,2023,0.00141643059490085
"9","1/1/2024","Monday",1,2024,0
"10","1/1/2025","Wednesday",1,2025,0
"11","1/10/2016","Sunday",1,2016,0
"12","1/10/2017","Tuesday",1,2017,0.00159235668789809
"13","1/10/2018","Wednesday",1,2018,0.00173310225303293
"14","1/10/2019","Thursday",1,2019,0
"15","1/10/2020","Friday",1,2020,0
"16","1/10/2021","Sunday",1,2021,0
"17","1/10/2022","Monday",1,2022,0.00255102040816327
"18","1/10/2023","Tuesday",1,2023,0
"19","1/10/2024","Wednesday",1,2024,0
"20","1/10/2025","Friday",1,2025,0
"21","1/11/2016","Monday",1,2016,0
"22","1/11/2017","Wednesday",1,2017,0.0031496062992126
"23","1/11/2018","Thursday",1,2018,0
"24","1/11/2019","Friday",1,2019,0
"25","1/11/2020","Saturday",1,2020,0.00162074554294976
"26","1/11/2021","Monday",1,2021,0
"27","1/11/2022","Tuesday",1,2022,0
"28","1/11/2023","Wednesday",1,2023,0
"29","1/11/2024","Thursday",1,2024,0
"30","1/11/2025","Saturday",1,2025,0
"31","1/12/2016","Tuesday",1,2016,0
"32","1/12/2017","Thursday",1,2017,0
"33","1/12/2018","Friday",1,2018,0.0015552099533437
"34","1/12/2019","Saturday",1,2019,0
"35","1/12/2020","Sunday",1,2020,0
"36","1/12/2021","Tuesday",1,2021,0
"37","1/12/2022","Wednesday",1,2022,0
"38","1/12/2023","Thursday",1,2023,0.00202839756592292
"39","1/12/2024","Friday",1,2024,0
"40","1/12/2025","Sunday",1,2025,0
"41","1/13/2016","Wednesday",1,2016,0
"42","1/13/2017","Friday",1,2017,0
"43","1/13/2018","Saturday",1,2018,0
"44","1/13/2019","Sunday",1,2019,0.00194931773879142
"45","1/13/2020","Monday",1,2020,0.00184162062615101
"46","1/13/2021","Wednesday",1,2021,0
"47","1/13/2022","Thursday",1,2022,0
"48","1/13/2023","Friday",1,2023,0
"49","1/13/2024","Saturday",1,2024,0
"50","1/13/2025","Monday",1,2025,0
"51","1/14/2016","Thursday",1,2016,0
"52","1/14/2017","Saturday",1,2017,0
"53","1/14/2018","Sunday",1,2018,0
"54","1/14/2019","Monday",1,2019,0.00151745068285281
"55","1/14/2020","Tuesday",1,2020,0
"56","1/14/2021","Thursday",1,2021,0
"57","1/14/2022","Friday",1,2022,0.0018450184501845
"58","1/14/2023","Saturday",1,2023,0
"59","1/14/2024","Sunday",1,2024,0
"60","1/14/2025","Tuesday",1,2025,0
"61","1/15/2016","Friday",1,2016,0
"62","1/15/2017","Sunday",1,2017,0
"63","1/15/2018","Monday",1,2018,0
"64","1/15/2019","Tuesday",1,2019,0.00135869565217391
"65","1/15/2020","Wednesday",1,2020,0.0037037037037037
"66","1/15/2021","Friday",1,2021,0.00184842883548983
"67","1/15/2022","Saturday",1,2022,0.00188323917137476
"68","1/15/2023","Sunday",1,2023,0
"69","1/15/2024","Monday",1,2024,0.00255754475703325
"70","1/15/2025","Wednesday",1,2025,0
"71","1/16/2016","Saturday",1,2016,0
"72","1/16/2017","Monday",1,2017,0
"73","1/16/2018","Tuesday",1,2018,0
"74","1/16/2019","Wednesday",1,2019,0.00272479564032698
"75","1/16/2020","Thursday",1,2020,0
"76","1/16/2021","Saturday",1,2021,0
"77","1/16/2022","Sunday",1,2022,0
"78","1/16/2023","Monday",1,2023,0
"79","1/16/2024","Tuesday",1,2024,0
"80","1/16/2025","Thursday",1,2025,0.00238663484486874
"81","1/17/2016","Sunday",1,2016,0
"82","1/17/2017","Tuesday",1,2017,0
"83","1/17/2018","Wednesday",1,2018,0
"84","1/17/2019","Thursday",1,2019,0
"85","1/17/2020","Friday",1,2020,0.00431654676258993
"86","1/17/2021","Sunday",1,2021,0.00213675213675214
"87","1/17/2022","Monday",1,2022,0
"88","1/17/2023","Tuesday",1,2023,0
"89","1/17/2024","Wednesday",1,2024,0
"90","1/17/2025","Friday",1,2025,0
"91","1/18/2016","Monday",1,2016,0.00191938579654511
"92","1/18/2017","Wednesday",1,2017,0
"93","1/18/2018","Thursday",1,2018,0.00176678445229682
"94","1/18/2019","Friday",1,2019,0
"95","1/18/2020","Saturday",1,2020,0.00165289256198347
"96","1/18/2021","Monday",1,2021,0
"97","1/18/2022","Tuesday",1,2022,0
"98","1/18/2023","Wednesday",1,2023,0
"99","1/18/2024","Thursday",1,2024,0
"100","1/18/2025","Saturday",1,2025,0.00181488203266788
"101","1/19/2016","Tuesday",1,2016,0.00161290322580645
"102","1/19/2017","Thursday",1,2017,0
"103","1/19/2018","Friday",1,2018,0
"104","1/19/2019","Saturday",1,2019,0
"105","1/19/2020","Sunday",1,2020,0
"106","1/19/2021","Tuesday",1,2021,0
"107","1/19/2022","Wednesday",1,2022,0
"108","1/19/2023","Thursday",1,2023,0.00190114068441065
"109","1/19/2024","Friday",1,2024,0
"110","1/19/2025","Sunday",1,2025,0
"111","1/2/2016","Saturday",1,2016,0
"112","1/2/2017","Monday",1,2017,0
"113","1/2/2018","Tuesday",1,2018,0
"114","1/2/2019","Wednesday",1,2019,0
"115","1/2/2020","Thursday",1,2020,0
"116","1/2/2021","Saturday",1,2021,0
"117","1/2/2022","Sunday",1,2022,0
"118","1/2/2023","Monday",1,2023,0
"119","1/2/2024","Tuesday",1,2024,0.00631578947368421
"120","1/2/2025","Thursday",1,2025,0.00247524752475248
"121","1/20/2016","Wednesday",1,2016,0
"122","1/20/2017","Friday",1,2017,0.00153609831029186
"123","1/20/2018","Saturday",1,2018,0
"124","1/20/2019","Sunday",1,2019,0
"125","1/20/2020","Monday",1,2020,0
"126","1/20/2021","Wednesday",1,2021,0
"127","1/20/2022","Thursday",1,2022,0
"128","1/20/2023","Friday",1,2023,0.00198019801980198
"129","1/20/2024","Saturday",1,2024,0
"130","1/20/2025","Monday",1,2025,0
"131","1/21/2016","Thursday",1,2016,0
"132","1/21/2017","Saturday",1,2017,0
"133","1/21/2018","Sunday",1,2018,0
"134","1/21/2019","Monday",1,2019,0
"135","1/21/2020","Tuesday",1,2020,0
"136","1/21/2021","Thursday",1,2021,0
"137","1/21/2022","Friday",1,2022,0
"138","1/21/2023","Saturday",1,2023,0.00184842883548983
"139","1/21/2024","Sunday",1,2024,0.00168350168350168
"140","1/21/2025","Tuesday",1,2025,0
"141","1/22/2016","Friday",1,2016,0
"142","1/22/2017","Sunday",1,2017,0
"143","1/22/2018","Monday",1,2018,0
"144","1/22/2019","Tuesday",1,2019,0
"145","1/22/2020","Wednesday",1,2020,0.00194931773879142
"146","1/22/2021","Friday",1,2021,0
"147","1/22/2022","Saturday",1,2022,0
"148","1/22/2023","Sunday",1,2023,0
"149","1/22/2024","Monday",1,2024,0
"150","1/22/2025","Wednesday",1,2025,0
"151","1/23/2016","Saturday",1,2016,0
"152","1/23/2017","Monday",1,2017,0
"153","1/23/2018","Tuesday",1,2018,0
"154","1/23/2019","Wednesday",1,2019,0
"155","1/23/2020","Thursday",1,2020,0.00191204588910134
"156","1/23/2021","Saturday",1,2021,0
"157","1/23/2022","Sunday",1,2022,0
"158","1/23/2023","Monday",1,2023,0
"159","1/23/2024","Tuesday",1,2024,0
"160","1/23/2025","Thursday",1,2025,0
"161","1/24/2016","Sunday",1,2016,0
"162","1/24/2017","Tuesday",1,2017,0
"163","1/24/2018","Wednesday",1,2018,0
"164","1/24/2019","Thursday",1,2019,0
"165","1/24/2020","Friday",1,2020,0
"166","1/24/2021","Sunday",1,2021,0.00354609929078014
"167","1/24/2022","Monday",1,2022,0
"168","1/24/2023","Tuesday",1,2023,0
"169","1/24/2024","Wednesday",1,2024,0
"170","1/24/2025","Friday",1,2025,0.00212314225053079
"171","1/25/2016","Monday",1,2016,0
"172","1/25/2017","Wednesday",1,2017,0
"173","1/25/2018","Thursday",1,2018,0
"174","1/25/2019","Friday",1,2019,0.00156739811912226
"175","1/25/2020","Saturday",1,2020,0
"176","1/25/2021","Monday",1,2021,0.00217391304347826
"177","1/25/2022","Tuesday",1,2022,0
"178","1/25/2023","Wednesday",1,2023,0
"179","1/25/2024","Thursday",1,2024,0.00219298245614035
"180","1/25/2025","Saturday",1,2025,0
"181","1/26/2016","Tuesday",1,2016,0
"182","1/26/2017","Thursday",1,2017,0
"183","1/26/2018","Friday",1,2018,0
"184","1/26/2019","Saturday",1,2019,0
"185","1/26/2020","Sunday",1,2020,0
"186","1/26/2021","Tuesday",1,2021,0
"187","1/26/2022","Wednesday",1,2022,0
"188","1/26/2023","Thursday",1,2023,0.00232558139534884
"189","1/26/2024","Friday",1,2024,0.00185873605947955
"190","1/26/2025","Sunday",1,2025,0
"191","1/27/2016","Wednesday",1,2016,0.0044543429844098
"192","1/27/2017","Friday",1,2017,0
"193","1/27/2018","Saturday",1,2018,0
"194","1/27/2019","Sunday",1,2019,0
"195","1/27/2020","Monday",1,2020,0.00206185567010309
"196","1/27/2021","Wednesday",1,2021,0
"197","1/27/2022","Thursday",1,2022,0
"198","1/27/2023","Friday",1,2023,0
"199","1/27/2024","Saturday",1,2024,0
"200","1/27/2025","Monday",1,2025,0
"201","1/28/2016","Thursday",1,2016,0
"202","1/28/2017","Saturday",1,2017,0.00173310225303293
"203","1/28/2018","Sunday",1,2018,0
"204","1/28/2019","Monday",1,2019,0.00208768267223382
"205","1/28/2020","Tuesday",1,2020,0
"206","1/28/2021","Thursday",1,2021,0
"207","1/28/2022","Friday",1,2022,0.00175746924428822
"208","1/28/2023","Saturday",1,2023,0
"209","1/28/2024","Sunday",1,2024,0.00188323917137476
"210","1/28/2025","Tuesday",1,2025,0
"211","1/29/2016","Friday",1,2016,0
"212","1/29/2017","Sunday",1,2017,0
"213","1/29/2018","Monday",1,2018,0
"214","1/29/2019","Tuesday",1,2019,0
"215","1/29/2020","Wednesday",1,2020,0
"216","1/29/2021","Friday",1,2021,0
"217","1/29/2022","Saturday",1,2022,0.00175438596491228
"218","1/29/2023","Sunday",1,2023,0
"219","1/29/2024","Monday",1,2024,0
"220","1/29/2025","Wednesday",1,2025,0
"221","1/3/2016","Sunday",1,2016,0.00237529691211401
"222","1/3/2017","Tuesday",1,2017,0
"223","1/3/2018","Wednesday",1,2018,0.00169779286926995
"224","1/3/2019","Thursday",1,2019,0.00555555555555556
"225","1/3/2020","Friday",1,2020,0
"226","1/3/2021","Sunday",1,2021,0
"227","1/3/2022","Monday",1,2022,0
"228","1/3/2023","Tuesday",1,2023,0
"229","1/3/2024","Wednesday",1,2024,0
"230","1/3/2025","Friday",1,2025,0.00415800415800416
"231","1/30/2016","Saturday",1,2016,0
"232","1/30/2017","Monday",1,2017,0
"233","1/30/2018","Tuesday",1,2018,0
"234","1/30/2019","Wednesday",1,2019,0
"235","1/30/2020","Thursday",1,2020,0.00208768267223382
"236","1/30/2021","Saturday",1,2021,0
"237","1/30/2022","Sunday",1,2022,0
"238","1/30/2023","Monday",1,2023,0
"239","1/30/2024","Tuesday",1,2024,0.00222222222222222
"240","1/30/2025","Thursday",1,2025,0
"241","1/31/2016","Sunday",1,2016,0
"242","1/31/2017","Tuesday",1,2017,0
"243","1/31/2018","Wednesday",1,2018,0
"244","1/31/2019","Thursday",1,2019,0
"245","1/31/2020","Friday",1,2020,0.00154320987654321
"246","1/31/2021","Sunday",1,2021,0
"247","1/31/2022","Monday",1,2022,0.00237529691211401
"248","1/31/2023","Tuesday",1,2023,0.00228310502283105
"249","1/31/2024","Wednesday",1,2024,0
"250","1/31/2025","Friday",1,2025,0.0017921146953405
"251","1/4/2016","Monday",1,2016,0
"252","1/4/2017","Wednesday",1,2017,0
"253","1/4/2018","Thursday",1,2018,0
"254","1/4/2019","Friday",1,2019,0
"255","1/4/2020","Saturday",1,2020,0
"256","1/4/2021","Monday",1,2021,0
"257","1/4/2022","Tuesday",1,2022,0
"258","1/4/2023","Wednesday",1,2023,0
"259","1/4/2024","Thursday",1,2024,0
"260","1/4/2025","Saturday",1,2025,0
"261","1/5/2016","Tuesday",1,2016,0.00167224080267559
"262","1/5/2017","Thursday",1,2017,0
"263","1/5/2018","Friday",1,2018,0.00141442715700141
"264","1/5/2019","Saturday",1,2019,0
"265","1/5/2020","Sunday",1,2020,0.00217391304347826
"266","1/5/2021","Tuesday",1,2021,0
"267","1/5/2022","Wednesday",1,2022,0
"268","1/5/2023","Thursday",1,2023,0
"269","1/5/2024","Friday",1,2024,0.0018796992481203
"270","1/5/2025","Sunday",1,2025,0
"271","1/6/2016","Wednesday",1,2016,0.00165562913907285
"272","1/6/2017","Friday",1,2017,0
"273","1/6/2018","Saturday",1,2018,0
"274","1/6/2019","Sunday",1,2019,0
"275","1/6/2020","Monday",1,2020,0
"276","1/6/2021","Wednesday",1,2021,0
"277","1/6/2022","Thursday",1,2022,0.00248756218905473
"278","1/6/2023","Friday",1,2023,0
"279","1/6/2024","Saturday",1,2024,0
"280","1/6/2025","Monday",1,2025,0
"281","1/7/2016","Thursday",1,2016,0.00179533213644524
"282","1/7/2017","Saturday",1,2017,0
"283","1/7/2018","Sunday",1,2018,0.00214592274678112
"284","1/7/2019","Monday",1,2019,0
"285","1/7/2020","Tuesday",1,2020,0
"286","1/7/2021","Thursday",1,2021,0
"287","1/7/2022","Friday",1,2022,0
"288","1/7/2023","Saturday",1,2023,0
"289","1/7/2024","Sunday",1,2024,0.00203252032520325
"290","1/7/2025","Tuesday",1,2025,0
"291","1/8/2016","Friday",1,2016,0
"292","1/8/2017","Sunday",1,2017,0
"293","1/8/2018","Monday",1,2018,0
"294","1/8/2019","Tuesday",1,2019,0.00186219739292365
"295","1/8/2020","Wednesday",1,2020,0
"296","1/8/2021","Friday",1,2021,0
"297","1/8/2022","Saturday",1,2022,0.00200400801603206
"298","1/8/2023","Sunday",1,2023,0
"299","1/8/2024","Monday",1,2024,0.00218818380743982
"300","1/8/2025","Wednesday",1,2025,0
"301","1/9/2016","Saturday",1,2016,0
"302","1/9/2017","Monday",1,2017,0
"303","1/9/2018","Tuesday",1,2018,0
"304","1/9/2019","Wednesday",1,2019,0
"305","1/9/2020","Thursday",1,2020,0.00189753320683112
"306","1/9/2021","Saturday",1,2021,0
"307","1/9/2022","Sunday",1,2022,0
"308","1/9/2023","Monday",1,2023,0
"309","1/9/2024","Tuesday",1,2024,0
"310","1/9/2025","Thursday",1,2025,0
"311","10/1/2016","Saturday",10,2016,0.00168918918918919
"312","10/1/2017","Sunday",10,2017,0
"313","10/1/2018","Monday",10,2018,0
"314","10/1/2019","Tuesday",10,2019,0.00522193211488251
"315","10/1/2020","Thursday",10,2020,0
"316","10/1/2021","Friday",10,2021,0.0037593984962406
"317","10/1/2022","Saturday",10,2022,0
"318","10/1/2023","Sunday",10,2023,0
"319","10/1/2024","Tuesday",10,2024,0
"320","10/1/2025","Wednesday",10,2025,0
"321","10/10/2016","Monday",10,2016,0
"322","10/10/2017","Tuesday",10,2017,0
"323","10/10/2018","Wednesday",10,2018,0.00217391304347826
"324","10/10/2019","Thursday",10,2019,0
"325","10/10/2020","Saturday",10,2020,0.00169204737732657
"326","10/10/2021","Sunday",10,2021,0
"327","10/10/2022","Monday",10,2022,0
